Id,Petro,dalma,Heber,Platy,Ponde,Plect,Rafin,strop,Zygos,bifol,Const,Cuffe,encru,Escha,fenes,massi,Parvo,ramos,thinr,Ambon,bival,Carit,modio,belle,Cyclo,gastr,Lopho,nauti,Cornu,calym,Cerau,Isote,odont,Cinci,crino,Ecten,Glycr,Ptych
2D001,0,0,0,1,0,0,7,0,0,0,0,0,0,2,1,0,0,2,8,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0
2D002,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0
2D003,0,0,0,9,0,3,5,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2D004,0,0,0,6,0,4,7,1,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2D005,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D006,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2D007,0,0,0,5,0,1,12,0,7,2,2,0,0,1,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2D008,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D009,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D010,0,0,0,4,0,0,2,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2D011,7,0,0,5,0,0,5,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
2D012,0,13,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0
2D013,0,12,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2D014,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2D015,0,0,0,1,0,11,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2D016,0,0,0,4,0,6,4,1,5,5,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2D017,0,0,0,0,0,2,2,3,0,0,5,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D018,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
2D019,0,0,1,3,0,5,8,0,3,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2D020,0,0,0,2,0,2,2,0,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
2D021,0,0,1,7,0,0,5,46,2,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D022,0,0,0,2,0,4,10,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0
2D023,0,0,0,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
2D024,2,0,0,10,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2D025,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,1,0
2D026,0,0,3,12,0,0,13,0,3,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,1,0
