soil_treatment,training_crop,feedback_crop,replication,shoot_mass_g,root_mass_g,total_mass_g
Control,Canola,Canola,1,2.9299999999999997,1.448062953995157,4.3780629539951565
Control,Canola,Canola,2,2.08,1.09377358490566,3.17377358490566
Control,Canola,Canola,3,2.0699999999999994,1.180553846153846,3.2505538461538457
Control,Canola,Canola,4,3.209999999999999,0.9360730593607299,4.146073059360729
Control,Canola,Canola,5,1.959999999999999,0.9712925170068026,2.931292517006802
Control,Canola,Canola,6,2.6099999999999994,1.0361363636363634,3.646136363636363
Control,Canola,Canola,7,3.3099999999999996,1.083162544169611,4.393162544169611
Control,Canola,Canola,8,2.9000000000000004,1.340240641711229,4.240240641711229
Control,Canola,Soybean,1,2.54,0.8926470588235289,3.432647058823529
Control,Canola,Soybean,2,2.4000000000000004,0.9627096774193545,3.362709677419355
Control,Canola,Soybean,3,1.8699999999999992,1.1532874828060518,3.023287482806051
Control,Canola,Soybean,4,2.45,1.0391652173913037,3.489165217391304
Control,Canola,Soybean,5,2.16,1.1058910891089107,3.265891089108911
Control,Canola,Soybean,6,1.8399999999999999,0.6207329842931931,2.460732984293193
Control,Canola,Soybean,7,2.3500000000000005,1.3469341563786008,3.6969341563786013
Control,Canola,Soybean,8,1.8599999999999994,0.6751551724137924,2.5351551724137917
Control,Canola,Maize,1,2.84,2.465090252707581,5.305090252707581
Control,Canola,Maize,2,3.08,2.0067377398720687,5.086737739872069
Control,Canola,Maize,3,2.21,2.845538461538461,5.055538461538461
Control,Canola,Maize,4,2.84,2.2234103685196738,5.063410368519674
Control,Canola,Maize,5,2.2399999999999993,2.596829268292683,4.836829268292682
Control,Canola,Maize,6,2.8499999999999996,2.113253012048192,4.963253012048192
Control,Canola,Maize,7,2.7300000000000004,2.022360248447205,4.752360248447205
Control,Canola,Maize,8,2.38,1.949201741654571,4.329201741654571
Control,Canola,Wheat,1,2.469999999999999,0.5784949832775912,3.04849498327759
Control,Canola,Wheat,2,2.589999999999999,1.0417990654205604,3.6317990654205596
Control,Canola,Wheat,3,1.6799999999999997,0.3170103092783505,1.9970103092783502
Control,Canola,Wheat,4,1.8200000000000003,0.4543689320388342,2.2743689320388345
Control,Canola,Wheat,5,2.45,0.6431460674157303,3.0931460674157307
Control,Canola,Wheat,6,2.16,0.6014592274678103,2.7614592274678103
