dog_id,treatment,location,latency
Dog_1,Baseline,M,3.94
Dog_1,Baseline,P,3.47
Dog_1,Baseline,P,3.34
Dog_1,Baseline,N,3.06
Dog_1,Baseline,N,4.44
Dog_1,Baseline,NP,3.59
Dog_1,Baseline,P,4.15
Dog_1,Baseline,N,5.32
Dog_1,Baseline,N,4.75
Dog_1,Baseline,P,4.62
Dog_1,Baseline,NN,6.09
Dog_1,Baseline,N,6.44
Dog_1,Baseline,N,30
Dog_1,Baseline,P,30
Dog_1,Baseline,P,30
Dog_1,Baseline,NP,3.25
Dog_1,Baseline,N,30
Dog_1,Baseline,N,5.87
Dog_1,Baseline,P,4.22
Dog_1,Baseline,P,3.57
Dog_1,Baseline,NN,5.06
Dog_1,Baseline,N,4.82
Dog_1,Baseline,N,6.16
Dog_1,Baseline,P,4.13
Dog_1,Baseline,P,3.44
Dog_1,Baseline,M,4.38
Dog_1,Relaxed,M,6.56
Dog_1,Relaxed,P,30
Dog_1,Relaxed,P,3.9
Dog_1,Relaxed,N,4.16
Dog_1,Relaxed,N,7.21
Dog_1,Relaxed,NP,30
Dog_1,Relaxed,P,3.69
Dog_1,Relaxed,N,4.84
Dog_1,Relaxed,N,30
Dog_1,Relaxed,P,6.56
Dog_1,Relaxed,NN,4.81
Dog_1,Relaxed,N,8.41
Dog_1,Relaxed,N,30
Dog_1,Relaxed,P,4.75
Dog_1,Relaxed,P,4.19
Dog_1,Relaxed,NP,4.9
Dog_1,Relaxed,N,8.09
Dog_1,Relaxed,N,30
Dog_1,Relaxed,P,30
Dog_1,Relaxed,P,30
Dog_1,Relaxed,NN,30
Dog_1,Relaxed,P,4.75
Dog_1,Relaxed,N,5.87
Dog_1,Relaxed,N,30
Dog_1,Relaxed,P,3.09
Dog_1,Relaxed,M,4.25
Dog_1,Stressed,M,30
Dog_1,Stressed,P,3.66
Dog_1,Stressed,P,3.53
Dog_1,Stressed,N,4.71
Dog_1,Stressed,N,30
Dog_1,Stressed,NP,2.62
Dog_1,Stressed,P,3.59
Dog_1,Stressed,N,30
Dog_1,Stressed,N,30
Dog_1,Stressed,P,2.65
Dog_1,Stressed,NN,30
Dog_1,Stressed,N,4
Dog_1,Stressed,N,24.68
Dog_1,Stressed,P,3.06
Dog_1,Stressed,P,3.63
Dog_1,Stressed,NP,3.78
Dog_1,Stressed,N,30
Dog_1,Stressed,N,30
Dog_1,Stressed,P,3.13
Dog_1,Stressed,P,4.56
Dog_1,Stressed,NN,5.22
Dog_1,Stressed,N,30
Dog_1,Stressed,N,7.72
Dog_1,Stressed,P,2.44
Dog_1,Stressed,P,4.12
Dog_1,Stressed,M,4.34
Dog_2,Baseline,M,3.6
Dog_2,Baseline,P,4.09
Dog_2,Baseline,P,3.69
Dog_2,Baseline,N,9.72
Dog_2,Baseline,N,30
Dog_2,Baseline,NP,5.09
Dog_2,Baseline,P,16.72
Dog_2,Baseline,N,30
Dog_2,Baseline,N,30
Dog_2,Baseline,P,4.68
Dog_2,Baseline,NN,6
Dog_2,Baseline,N,30
Dog_2,Baseline,N,30
Dog_2,Baseline,P,4.69
Dog_2,Baseline,P,3.13
Dog_2,Baseline,NP,3.66
Dog_2,Baseline,N,5.59
Dog_2,Baseline,N,30
Dog_2,Baseline,P,3.66
Dog_2,Baseline,P,4.19
Dog_2,Baseline,NN,30
Dog_2,Baseline,N,7.07
Dog_2,Baseline,N,30
Dog_2,Baseline,P,5.04
Dog_2,Baseline,P,3.9
Dog_2,Baseline,M,3.82
Dog_2,Relaxed,M,3.09
Dog_2,Relaxed,P,3.53
Dog_2,Relaxed,P,2.53
Dog_2,Relaxed,N,4.47
Dog_2,Relaxed,N,30
Dog_2,Relaxed,NP,3.31
Dog_2,Relaxed,P,17.56
Dog_2,Relaxed,N,30
Dog_2,Relaxed,N,5.53
Dog_2,Relaxed,P,4.06
Dog_2,Relaxed,NN,11.78
Dog_2,Relaxed,N,4.28
Dog_2,Relaxed,N,30
Dog_2,Relaxed,P,2.5
Dog_2,Relaxed,P,3.31
Dog_2,Relaxed,NP,4.21
Dog_2,Relaxed,N,30
Dog_2,Relaxed,N,30
Dog_2,Relaxed,P,1.88
Dog_2,Relaxed,P,2.9
Dog_2,Relaxed,NN,4.28
Dog_2,Relaxed,P,4.22
Dog_2,Relaxed,N,30
Dog_2,Relaxed,N,30
Dog_2,Relaxed,P,1.85
Dog_2,Relaxed,M,2.4
Dog_2,Stressed,M,2
Dog_2,Stressed,P,4.44
Dog_2,Stressed,P,2.75
Dog_2,Stressed,N,3.28
Dog_2,Stressed,N,12.78
Dog_2,Stressed,NP,2.81
Dog_2,Stressed,P,3.84
Dog_2,Stressed,N,30
Dog_2,Stressed,N,30
Dog_2,Stressed,P,2
Dog_2,Stressed,NN,5.71
Dog_2,Stressed,N,30
Dog_2,Stressed,N,30
Dog_2,Stressed,P,2.38
Dog_2,Stressed,P,2.19
Dog_2,Stressed,NP,2.12
Dog_2,Stressed,N,30
Dog_2,Stressed,N,12.97
Dog_2,Stressed,P,3.72
Dog_2,Stressed,P,2
Dog_2,Stressed,NN,30
Dog_2,Stressed,N,30
Dog_2,Stressed,N,30
Dog_2,Stressed,P,2.13
Dog_2,Stressed,P,2.31
Dog_2,Stressed,M,3.88
Dog_19,Baseline,M,4.22
Dog_19,Baseline,P,2.75
Dog_19,Baseline,P,2.91
Dog_19,Baseline,N,3.88
Dog_19,Baseline,N,3.3
Dog_19,Baseline,NP,4.68
Dog_19,Baseline,P,4.15
Dog_19,Baseline,N,30
Dog_19,Baseline,N,5
Dog_19,Baseline,P,4.62
Dog_19,Baseline,NN,6.43
Dog_19,Baseline,N,4.31
Dog_19,Baseline,N,7.31
Dog_19,Baseline,P,3.46
Dog_19,Baseline,P,4.03
Dog_19,Baseline,NP,2.94
Dog_19,Baseline,N,15.59
Dog_19,Baseline,N,7
Dog_19,Baseline,P,3.87
Dog_19,Baseline,P,2.66
Dog_19,Baseline,NN,11.13
Dog_19,Baseline,N,12.69
Dog_19,Baseline,N,30
Dog_19,Baseline,P,4.59
Dog_19,Baseline,P,4.72
Dog_19,Baseline,M,4.97
Dog_19,Relaxed,M,4.41
Dog_19,Relaxed,P,3.97
Dog_19,Relaxed,P,2.56
Dog_19,Relaxed,N,6.75
Dog_19,Relaxed,N,3.31
Dog_19,Relaxed,NP,3.62
Dog_19,Relaxed,P,3.72
Dog_19,Relaxed,N,3.34
Dog_19,Relaxed,N,4.34
Dog_19,Relaxed,P,2.63
Dog_19,Relaxed,NN,6.16
Dog_19,Relaxed,N,7.72
Dog_19,Relaxed,N,30
Dog_19,Relaxed,P,3.69
Dog_19,Relaxed,P,2.94
Dog_19,Relaxed,NP,3.72
Dog_19,Relaxed,N,5.53
Dog_19,Relaxed,N,7.66
Dog_19,Relaxed,P,4
Dog_19,Relaxed,P,3.18
Dog_19,Relaxed,NN,4.41
Dog_19,Relaxed,P,3.41
Dog_19,Relaxed,N,30
Dog_19,Relaxed,N,4.41
Dog_19,Relaxed,P,3.22
Dog_19,Relaxed,M,3.25
Dog_19,Stressed,M,2.19
Dog_19,Stressed,P,2.91
Dog_19,Stressed,P,1.81
Dog_19,Stressed,N,3.03
Dog_19,Stressed,N,30
Dog_19,Stressed,NP,3.18
Dog_19,Stressed,P,3.44
Dog_19,Stressed,N,6.85
Dog_19,Stressed,N,3.81
Dog_19,Stressed,P,2.72
Dog_19,Stressed,NN,3.4
Dog_19,Stressed,N,30
Dog_19,Stressed,N,30
Dog_19,Stressed,P,2.81
Dog_19,Stressed,P,2.5
Dog_19,Stressed,NP,3.72
Dog_19,Stressed,N,30
Dog_19,Stressed,N,30
Dog_19,Stressed,P,3.06
Dog_19,Stressed,P,3.44
Dog_19,Stressed,NN,3.31
Dog_19,Stressed,N,3.78
Dog_19,Stressed,N,30
Dog_19,Stressed,P,2.03
Dog_19,Stressed,P,2.19
Dog_19,Stressed,M,4.62
Dog_4,Baseline,M,3.1
Dog_4,Baseline,P,2.28
Dog_4,Baseline,P,2.91
Dog_4,Baseline,N,2.53
Dog_4,Baseline,N,5.62
Dog_4,Baseline,NP,3.63
Dog_4,Baseline,P,9.12
Dog_4,Baseline,N,3.09
Dog_4,Baseline,N,30
Dog_4,Baseline,P,7.88
Dog_4,Baseline,NN,20.91
Dog_4,Baseline,N,4.22
Dog_4,Baseline,N,5.82
Dog_4,Baseline,P,3.4
Dog_4,Baseline,P,3.1
Dog_4,Baseline,NP,3.66
Dog_4,Baseline,N,3.88
Dog_4,Baseline,N,4.44
Dog_4,Baseline,P,2.88
Dog_4,Baseline,P,3.22
Dog_4,Baseline,NN,7.91
Dog_4,Baseline,N,4.31
Dog_4,Baseline,N,6.31
Dog_4,Baseline,P,3.34
Dog_4,Baseline,P,3.28
Dog_4,Baseline,M,10.94
Dog_4,Stressed,M,2.47
Dog_4,Stressed,P,2.47
Dog_4,Stressed,P,2
Dog_4,Stressed,N,4.41
Dog_4,Stressed,N,3.56
Dog_4,Stressed,NP,2.81
Dog_4,Stressed,P,2.19
Dog_4,Stressed,N,5.62
Dog_4,Stressed,N,5.06
Dog_4,Stressed,P,2.22
Dog_4,Stressed,NN,3.12
Dog_4,Stressed,N,9.1
Dog_4,Stressed,N,6.59
Dog_4,Stressed,P,3.06
Dog_4,Stressed,P,2.97
Dog_4,Stressed,NP,2.81
Dog_4,Stressed,N,3.53
Dog_4,Stressed,N,5.13
Dog_4,Stressed,P,2.93
Dog_4,Stressed,P,10.25
Dog_4,Stressed,NN,3.47
Dog_4,Stressed,P,2.31
Dog_4,Stressed,N,5.81
Dog_4,Stressed,N,8.22
Dog_4,Stressed,P,2.25
Dog_4,Stressed,M,4.41
Dog_4,Relaxed,M,2.81
Dog_4,Relaxed,P,2.43
Dog_4,Relaxed,P,2.47
Dog_4,Relaxed,N,30
Dog_4,Relaxed,N,2.22
Dog_4,Relaxed,NP,2.94
Dog_4,Relaxed,P,2.38
Dog_4,Relaxed,N,4.88
Dog_4,Relaxed,N,3.28
Dog_4,Relaxed,P,3.15
Dog_4,Relaxed,NN,2.34
Dog_4,Relaxed,N,4.19
Dog_4,Relaxed,N,3.87
Dog_4,Relaxed,P,2.44
Dog_4,Relaxed,P,2.25
Dog_4,Relaxed,NP,2.71
Dog_4,Relaxed,N,4.29
Dog_4,Relaxed,N,6.06
Dog_4,Relaxed,P,3.38
Dog_4,Relaxed,P,2.09
Dog_4,Relaxed,NN,3.75
Dog_4,Relaxed,N,4.81
Dog_4,Relaxed,N,30
Dog_4,Relaxed,P,3.19
Dog_4,Relaxed,P,2.07
Dog_4,Relaxed,M,3.88
Dog_20,Baseline,M,2.07
Dog_20,Baseline,P,1.72
Dog_20,Baseline,P,1.41
Dog_20,Baseline,N,1.59
Dog_20,Baseline,N,1.81
Dog_20,Baseline,NP,1.47
Dog_20,Baseline,P,1.75
Dog_20,Baseline,N,2.32
Dog_20,Baseline,N,3.5
Dog_20,Baseline,P,1.68
Dog_20,Baseline,NN,2.13
Dog_20,Baseline,N,2.41
Dog_20,Baseline,N,5.72
Dog_20,Baseline,P,1.25
Dog_20,Baseline,P,1.81
Dog_20,Baseline,NP,1.69
Dog_20,Baseline,N,2.59
Dog_20,Baseline,N,30
Dog_20,Baseline,P,1.53
Dog_20,Baseline,P,1.81
Dog_20,Baseline,NN,1.66
Dog_20,Baseline,N,7.28
Dog_20,Baseline,N,3.94
Dog_20,Baseline,P,1.69
Dog_20,Baseline,P,1.56
Dog_20,Baseline,M,1.91
Dog_20,Stressed,M,1.66
