calf_id,mig_status,birth_wt,sex
A114,Resident,18.203,Male
B114,Eastern,23.01366667,Male
BC13,Resident,12.79633333,Female
BD13,Eastern,17.226,Male
BE13,Resident,18.99672154,Female
BG13,Resident,16.54733333,Female
BH13,Resident,17.68233333,Female
BI13,Resident,15.36233333,Female
BJ13,Resident,15.3922,Female
BL13,Resident,19.32133333,Male
BM15,Resident,19.27133333,Female
BP15,Eastern,18.153,Male
BQ14,Eastern,16.64733333,Male
BS13,Resident,17.755,Female
BT13,Resident,16.595,Male
C114,Resident,17.56566667,Female
D116,Eastern,16.53066667,Female
E115,Eastern,18.16966667,Male
G115,Eastern,12.23433333,Female
I115,Resident,16.67833333,Male
K115,Resident,13.563,Female
L115,Eastern,18.103,Male
RA14,Resident,17.76566667,Female
RB15,Eastern,18.21966667,Female
RC15,Resident,19.98566667,Female
RC16,Eastern,15.00833333,Male
RD14,Resident,17.71566667,Female
RE15,Resident,16.52433333,Male
RF14,Eastern,15.029,Female
RG14,Resident,15.479,Female
RH14,Resident,16.545,Female
RI15,Eastern,17.16566667,Male
RK15,Resident,19.53566667,Female
RL15,Resident,18.582,Female
RM15,Resident,20.173,Male
RM16,Resident,17.66566667,Female
RN16,Resident,18.607,Female
RO15,Resident,15.656,Female
RO16,Eastern,17.22833333,Female
RP15,Resident,19.44833333,Male
RQ15,Resident,19.24833333,Female
RR15,Resident,21.473908,Female
RT15,Resident,18.54433333,Male
RU15,Eastern,17.05133333,Male
RV15,Resident,19.061,Female
RW15,Resident,18.02366667,Male
RX15,Eastern,17.71566667,Female
RY15,Resident,19.43166667,Female
SS15,Resident,17.00933333,Male
UN06,Eastern,18.68005488,Female
UN07,Resident,18.88005488,Female
UN11,Resident,16.76995738,Female
UN12,Eastern,16.80329071,Female
YA14,Resident,15.46233333,Female
YA16,Resident,13.57966667,Male
YB16,Eastern,17.749,Male
YC14,Eastern,15.90766667,Female
YC16,Resident,12.31933333,Male
YD14,Eastern,16.691,Female
YE14,Resident,19.869,Female
YE16,Resident,17.63233333,Male
YF16,Resident,18.49433333,Female
YG15,Eastern,17.41966667,Female
YG16,Resident,14.01233333,Female
YH15,Eastern,18.68005488,Male
YH16,Resident,20.16033333,Male
YI15,Resident,22.05966667,Male
YJ14,Eastern,19.415,Male
YJ16,Eastern,16.564,Female
YK14,Eastern,17.599,Female
YK16,Resident,18.44033333,Female
YM14,Eastern,16.72433333,Female
YM16,Eastern,14.49166667,Female
YN15,Eastern,18.83166667,Female
YN16,Resident,12.43177015,Male
YO14,Eastern,15.96633333,Male
YO15,Resident,20.33966667,Male
YO16,Resident,18.49033333,Male
YP16,Resident,20.562,Male
YQ14,Resident,20.00233333,Male
YQ16,Resident,17.81966667,Male
YR15,Eastern,15.38933333,Female
YR16,Resident,18.59033333,Female
YS15,Resident,17.66566667,Female
YS16,Resident,14.375,Male
YT14,Resident,19.792,Female
YT16,Eastern,15.29333333,Female
YU14,Eastern,20.91033333,Female
YU16,Resident,14.679,Female
YV14,Resident,16.75329071,Male
YW14,Resident,14.95833333,Male
YX14,Resident,19.90233333,Female
YY14,Resident,18.11966667,Male
YZ14,Resident,17.81106667,Male
