Species,Wing,Weight,Culmen,Hallux
RT,385,920,25.7,30.1
RT,381,990,26.7,31.3
CH,265,470,18.7,23.5
SS,205,170,12.5,14.3
RT,412,1090,28.5,32.2
RT,370,960,25.3,30.1
RT,375,855,27.2,30
RT,412,1210,29.3,31.3
RT,405,1120,26,30.2
RT,393,1010,26.3,30.8
RT,371,1010,25.4,29.7
RT,390,1120,28.9,30.9
RT,416,1170,26.5,34
RT,436,1390,30.5,34
RT,418,1150,27.1,31
RT,381,950,28.9,28.9
RT,378,910,25.7,28.2
RT,396,1010,24,26.9
RT,399,1070,26.4,31.2
RT,416,1190,28.8,31.6
RT,415,101,24.9,30.7
RT,392,1330,27,30.3
RT,380,990,26,30
RT,399,1100,26.2,32.5
RT,401,1190,28.6,31.6
SS,205,180,11.7,15
RT,427,1490,30.1,32.4
RT,395,1040,27.1,31.4
RT,362,820,24.9,27.9
RT,396,1030,26,29.7
RT,391,1300,25.5,32.4
RT,413,1500,26.5,31.3
RT,371,1080,25.3,27.2
RT,385,1320,27.3,30.1
RT,378,1490,25.4,31.3
RT,416,1500,29.1,30.8
SS,171,88,9.7,11.5
CH,233,324,16,19.3
RT,384,1060,26.1,31.2
RT,382,1140,25.1,29.4
RT,390,1030,27.6,30.3
RT,390,1000,25.1,28.3
RT,393,1050,28.7,29.8
RT,378,1040,26.2,31.2
RT,398,1110,26.5,30.9
RT,412,1300,27.9,31.55
RT,400,980,25.7,29.3
RT,422,1120,26.4,28.3
SS,202,134,12.4,13.7
RT,394,1270,27.8,31.6
RT,369,880,25,26.5
CH,252,340,16,20.8
CH,240,340,16.1,19.3
RT,410,1255,29.7,31.4
RT,241,1320,28.6,36.4
RT,408,1320,30,33.4
RT,37.2,1180,20.2,26.65
RT,380,760,24.5,26.1
RT,396,1250,26.6,32.5
SS,158,100,10.8,10.5
RT,416,1300,27.3,32.7
CH,271,475,18.2,24.75
SS,176,100,9.8,11.1
RT,390,1080,30.2,29.1
RT,391,1130,26.4,29.4
RT,387,1160,26.8,31
RT,420,1345,29.5,34.3
RT,435,1385,32.6,30.6
RT,400,1210,25.5,28.6
RT,398,1455,28,31.5
RT,395,1180,25,28.9
RT,410,1500,27.1,33.2
RT,369,1025,27.1,31.5
RT,372,930,26.1,31.1
RT,415,1360,28.6,33.5
RT,412,1255,27.7,32.6
SS,205,194,12.6,14.4
SS,204,159,12.5,14.8
SS,170,90,9.5,11.3
CH,233,340,17.8,19.4
RT,375,1065,25.9,30
RT,385,1125,19.6,31.4
RT,422,1340,28.7,32
RT,391,1050,26.6,32.2
RT,385,980,26.8,27.8
RT,381,1000,25.5,29.8
RT,416,1390,28.1,31.3
RT,406,1275,29,33.7
RT,412,1210,29.3,33.8
SS,208,168,12.7,14.8
SS,208,146,11.8,14.9
SS,175,108,10,11.5
SS,166,94,9.5,11.3
RT,405,1085,27.7,29.9
SS,200,154,12.4,14.4
RT,380,810,25.9,28.7
RT,381,905,27.9,29.1
SS,169,94,9,10.2
CH,260,420,19.6,23.9
RT,428,1240,29.1,34.7
RT,400,990,26.9,31.4
CH,265,365,16.8,22.5
SS,177,91,10.2,11.3
RT,381,1010,25.8,31.7
RT,403,980,26.3,29.7
RT,382,860,26.5,29
RT,382,970,25.8,29
RT,399,980,27.5,29.9
RT,380,985,23.9,29
RT,375,990,25.6,30.6
RT,420,1210,27.8,32.6
SS,170,89,8.6,11
SS,177,97,10,11.3
RT,375,990,28,29.5
RT,395,1170,28.1,31.7
SS,170,93,10.1,11.2
RT,406,1350,30.5,32
RT,414,1370,29.3,33
SS,173,103,9.7,19.4
SS,209,151,12.2,13.9
SS,177,101,10.3,12.1
RT,388,985,26.9,29.8
RT,277,940,26.5,30.4
RT,423,1310,27.4,34.1
RT,365,1035,26.1,30.8
RT,383,965,26.1,31.8
RT,391,1125,25.4,30.9
RT,389,975,26.4,30.3
RT,392,1140,26.2,29.8
RT,375,950,25.3,29.9
RT,410,1210,28.1,28.9
SS,179,95,10.8,11.6
SS,172,89,9.4,10.8
SS,202,195,12.4,14.1
SS,174,93,9.5,11
RT,422,1205,28.8,31.3
RT,385,1045,27.6,27.5
RT,363,1090,26.6,28.8
RT,450,1190,30.3,32.8
RT,380,960,25.6,30.1
RT,385,955,26.3,30.1
RT,385,1110,24.7,30.2
SS,171,100,19.1,11.5
RT,380,900,24,26.5
RT,384,1075,26.5,30.7
RT,373,980,27.9,32.1
RT,381,940,27.8,34.2
RT,363,1070,25.6,30.4
RT,409,1120,29.4,31.6
RT,390,1060,27.6,29
SS,204,168,12.1,14.3
SS,197,211,11.5,13.9
RT,420,1125,27.2,27.4
RT,381,1100,27,28.2
RT,408,1360,30,33.9
RT,388,995,26.7,30.7
RT,398,1095,21.1,31.4
SS,209,196,12.1,14.6
SS,209,176,11.7,15.1
RT,394,1075,25.5,29.7
SS,204,180,12.3,15.2
SS,204,164,12.3,14.3
SS,209,158,12.2,14.4
RT,394,1140,26.8,29.2
RT,416,1240,27.9,31.8
RT,445,1465,29.7,34.6
SS,209,169,12.1,14.5
RT,388,1105,26.7,28.9
RT,397,1010,27.1,31.4
RT,384,1075,26.3,30.5
RT,379,1060,27.9,30.9
RT,393,1015,27.6,31.1
RT,386,1100,26,30.2
RT,397,1010,25,30.6
RT,382,1000,26.3,30.1
RT,386,980,25.4,30.2
RT,417,1240,28.7,32.4
RT,403,1360,27.9,33.1
CH,239,183,17.3,19.2
RT,401,1405,29.1,82.8
RT,377,1055,27,29.1
RT,432,1670,27.1,32.9
RT,390,1250,26.2,30.5
RT,381,1030,25.3,29.9
SS,213,190,12.2,15.5
SS,172,105,10,10.8
RT,390,1090,26.2,28.8
SS,204,190,11.8,13.9
RT,386,1050,28.4,29.4
RT,402,1110,26.1,30
SS,201,206,12.1,13.5
SS,202,195,12.1,14.8
RT,374,1010,24.9,30.1
RT,358,880,24.2,28.7
RT,370,1060,24.3,29.8
RT,390,920,25.7,30
RT,398,1195,26.2,29.8
RT,360,890,26,28.4
RT,355,900,25.3,29
RT,375,1110,22.2,31.5
SS,200,160,10.2,13.2
SS,179,105,10.1,11.3
SS,175,99,9.6,12.7
SS,203,165,12,14.4
SS,205,100,12,12.5
SS,213,125,11.5,14.4
RT,409,1100,29,32.6
SS,195,155,11.9,14.6
RT,415,1285,29.5,31.8
CH,236,390,15.1,20.4
RT,363,920,26.8,30.2
RT,381,1025,25.4,30.8
RT,350,940,26,29.1
RT,398,1240,28.5,30.8
