BLEN,PLEN,OLEN,NLEN,PWID,SPECIES
1439,985,1503,629,230,1
1315,895,1367,564,230,1
1294,872,1421,606,239,1
1377,954,1504,660,248,1
1470,987,1563,672,236,1
1612,1119,1699,778,281,1
1388,936,1500,616,227,1
1575,1100,1655,727,295,1
1717,1184,1821,810,307,1
1587,1115,1711,778,293,1
1604,1132,1770,823,268,1
1630,1122,1703,755,294,1
1490,1007,1599,710,289,1
1552,1031,1540,701,234,1
1840,1279,1907,855,297,1
1702,1270,1860,864,332,1
1299,895,1345,565,219,2
1337,910,1395,562,234,2
1336,903,1441,596,185,2
1301,888,1387,579,225,2
1440,972,1580,675,248,2
1474,989,1555,629,239,2
1503,1031,1603,692,259,2
1568,1086,1689,717,290,2
1774,1210,1838,816,281,2
1893,1315,1945,893,267,2
1765,1240,1781,766,295,2
