student,gender,GenderNumber,main_organism,MainOrganismNumber,main_system,MainSystemNumber,accessible,attractive,wide_range,teaching-based_research,Dress_nicely,focus_on_complex_issues,gives_example,gives_out_note,sense_of_humour,mark_easily,moves_around,offers_lecture_notes,clear_objective,solicit_questions,text_book,primary_research,own_research,teach_in_team,understand_principles,use_a_pointer,well_respected
1,male,0,animals,1,terrestrial,1,10,2,5,6,3,4,7,9,9,5,5,9,6,6,3,8,7,5,7,5,7
3,female,1,animals,1,terrestrial,1,9,1,7,10,1,5,9,9,3,5,8,10,9,8,5,8,7,8,7,1,6
4,female,1,animals,1,terrestrial,1,8,0,9,7,0,5,8,6,8,4,3,7,5,6,2,4,6,7,6,4,5
5,female,1,animals,1,terrestrial,1,10,1,5,6,1,6,9,2,2,1,1,9,7,2,1,6,3,8,9,1,5
6,male,0,animals,1,marine,0,10,1,5,7,1,5,6,4,7,4,3,8,9,7,3,4,4,9,9,3,4
7,male,0,animals,1,terrestrial,1,7,1,3,4,1,5,8,7,10,6,4,10,10,7,4,5,5,5,10,6,8
8,female,1,animals,1,terrestrial,1,10,0,7,5,0,7,7,0,7,1,2,10,5,3,0,7,8,5,3,5,3
9,female,1,animals,1,terrestrial,1,10,2,10,8,2,10,10,8,8,5,5,10,10,10,5,10,9,8,10,5,10
10,female,1,animals,1,terrestrial,1,10,1,10,9,1,5,6,4,7,6,2,5,6,6,4,2,5,6,8,2,9
11,male,0,animals,1,terrestrial,1,8,4,8,6,4,5,10,7,10,2,7,10,10,7,2,2,9,5,7,7,4
12,male,0,animals,1,terrestrial,1,8,1,6,7,3,6,6,2,9,5,7,9,10,8,2,6,8,8,10,7,9
13,female,1,animals,1,terrestrial,1,6,5,7,8,4,5,9,10,10,5,8,10,10,6,2,8,9,7,10,6,8
14,male,0,animals,1,terrestrial,1,10,1,5,7,1,6,6,4,6,10,3,5,7,8,4,8,8,6,8,2,3
15,female,1,animals,1,terrestrial,1,9,1,8,9,1,3,8,3,5,4,2,6,6,2,1,7,8,5,5,2,3
16,male,0,animals,1,terrestrial,1,8,1,3,5,2,2,7,5,7,2,5,8,8,5,3,7,6,6,9,3,8
17,female,1,plants,0,terrestrial,1,8,5,5,4,2,5,9,9,8,8,5,9,8,6,5,7,8,6,9,5,8
18,male,0,animals,1,terrestrial,1,8,1,4,8,2,4,7,9,6,6,5,8,10,7,10,5,6,8,8,5,8
19,female,1,plants,0,terrestrial,1,10,1,7,10,1,8,1,1,5,1,7,5,7,8,1,8,8,1,10,1,1
20,female,1,animals,1,terrestrial,1,10,2,7,5,1,5,7,5,7,5,4,7,8,7,3,6,7,8,9,2,9
21,female,1,animals,1,terrestrial,1,10,1,10,6,2,6,7,4,8,5,2,9,10,9,6,5,5,7,10,3,9
22,male,0,animals,1,marine,0,7,1,7,5,1,4,10,5,6,6,3,8,7,5,1,6,5,5,10,7,7
23,female,1,animals,1,terrestrial,1,10,1,8,5,1,7,10,1,10,5,1,10,6,4,5,8,6,5,8,1,5
24,male,0,animals,1,marine,0,5,7,7,5,5,5,8,4,9,10,3,9,7,3,3,6,4,5,6,5,7
25,female,1,animals,1,marine,0,9,3,2,2,3,1,9,10,9,9,2,9,10,8,7,5,5,5,5,5,7
26,female,1,animals,1,terrestrial,1,10,1,8,8,1,5,10,10,10,5,5,10,10,7,4,6,6,5,9,6,6
27,male,0,animals,1,terrestrial,1,8,3,7,4,1,5,5,6,9,5,5,7,8,8,1,7,8,7,6,6,8
28,male,0,animals,1,terrestrial,1,10,1,7,8,2,5,7,1,6,2,4,6,1,3,1,6,7,9,5,1,10
29,female,1,animals,1,marine,0,9,1,5,7,0,5,8,3,6,5,5,10,10,9,6,5,6,7,10,5,7
30,female,1,animals,1,terrestrial,1,9,1,7,8,1,6,8,3,8,5,5,8,9,9,6,7,8,6,10,2,6
31,male,0,animals,1,terrestrial,1,10,0,9,7,0,7,6,3,8,5,5,7,8,4,2,8,4,6,4,4,9
32,female,1,animals,1,terrestrial,1,9,1,5,6,1,6,6,6,4,5,5,5,6,5,3,7,6,5,6,2,4
33,female,1,animals,1,terrestrial,1,8,5,9,8,5,8,8,7,6,6,2,9,7,5,3,5,6,5,6,2,3
34,female,1,animals,1,terrestrial,1,9,0,7,5,1,5,8,8,6,4,0,8,9,8,3,7,6,7,7,5,8
